none-STE、ternary_schedule、amend_loss、
---
1.58-bit Ternary Model、
This directory contains the training logs for our STE-free Ternary (1.58-bit) Model
---
（英語OpenWebText・10万歩）を開始します...
Step 0/32000 | CE Loss: 12.2871 | Trio Blend: 0.0%
Step 4500/32000 | CE Loss: 2.8750 | Trio Blend: 0.0%
Step 4600/32000 | CE Loss: 2.4688 | Trio Blend: 0.0%
Step 4700/32000 | CE Loss: 2.6875 | Trio Blend: 0.0%
Step 4800/32000 | CE Loss: 2.4531 | Trio Blend: 0.0%
Step 4900/32000 | CE Loss: 2.6250 | Trio Blend: 0.0%
Step 5000/32000 | CE Loss: 2.6875 | Trio Blend: 0.0%
Step 5100/32000 | CE Loss: 2.7344 | Trio Blend: 0.0%
Step 5200/32000 | CE Loss: 2.6406 | Trio Blend: 0.0%
Step 5300/32000 | CE Loss: 2.8281 | Trio Blend: 0.0%
Step 5400/32000 | CE Loss: 2.6094 | Trio Blend: 0.0%
Step 5500/32000 | CE Loss: 2.5938 | Trio Blend: 0.0%
Step 5600/32000 | CE Loss: 2.7031 | Trio Blend: 0.0%
Step 5700/32000 | CE Loss: 3.0156 | Trio Blend: 0.0%
Step 5800/32000 | CE Loss: 2.5781 | Trio Blend: 0.0%
Step 5900/32000 | CE Loss: 2.7188 | Trio Blend: 0.0%
Step 6000/32000 | CE Loss: 2.6250 | Trio Blend: 0.0%
Step 6100/32000 | CE Loss: 3.5312 | Trio Blend: 0.0%
Step 6200/32000 | CE Loss: 2.8125 | Trio Blend: 0.0%
Step 6300/32000 | CE Loss: 2.7656 | Trio Blend: 0.0%
Step 6400/32000 | CE Loss: 2.6875 | Trio Blend: 0.1%
Step 6500/32000 | CE Loss: 2.7031 | Trio Blend: 0.1%
Step 6600/32000 | CE Loss: 2.8594 | Trio Blend: 0.1%
Step 6700/32000 | CE Loss: 2.6562 | Trio Blend: 0.2%
Step 6800/32000 | CE Loss: 2.8906 | Trio Blend: 0.2%
Step 6900/32000 | CE Loss: 2.4844 | Trio Blend: 0.3%
Step 7000/32000 | CE Loss: 2.5469 | Trio Blend: 0.4%
Step 7100/32000 | CE Loss: 2.8906 | Trio Blend: 0.4%
Step 7200/32000 | CE Loss: 2.6094 | Trio Blend: 0.5%
Step 7300/32000 | CE Loss: 2.7188 | Trio Blend: 0.6%
Step 7400/32000 | CE Loss: 2.4531 | Trio Blend: 0.7%
Step 7500/32000 | CE Loss: 3.1094 | Trio Blend: 0.8%
Step 7600/32000 | CE Loss: 2.7500 | Trio Blend: 0.9%
Step 7700/32000 | CE Loss: 2.7656 | Trio Blend: 1.1%
Step 7800/32000 | CE Loss: 2.6094 | Trio Blend: 1.2%
Step 7900/32000 | CE Loss: 2.4844 | Trio Blend: 1.3%
Step 8000/32000 | CE Loss: 2.6094 | Trio Blend: 1.5%
Step 8100/32000 | CE Loss: 2.8438 | Trio Blend: 1.6%
Step 8200/32000 | CE Loss: 2.6250 | Trio Blend: 1.8%
Step 8300/32000 | CE Loss: 2.7656 | Trio Blend: 1.9%
Step 8400/32000 | CE Loss: 2.5781 | Trio Blend: 2.1%
Step 8500/32000 | CE Loss: 3.0312 | Trio Blend: 2.3%
Step 8600/32000 | CE Loss: 2.6719 | Trio Blend: 2.4%
Step 8700/32000 | CE Loss: 3.6250 | Trio Blend: 2.6%
Step 8800/32000 | CE Loss: 2.8125 | Trio Blend: 2.8%
Step 8900/32000 | CE Loss: 2.6094 | Trio Blend: 3.0%
Step 9000/32000 | CE Loss: 2.6562 | Trio Blend: 3.2%
Step 9100/32000 | CE Loss: 2.9062 | Trio Blend: 3.5%
Step 9200/32000 | CE Loss: 2.6875 | Trio Blend: 3.7%
Step 9300/32000 | CE Loss: 2.6875 | Trio Blend: 3.9%
Step 9400/32000 | CE Loss: 2.7188 | Trio Blend: 4.2%
Step 9500/32000 | CE Loss: 2.4219 | Trio Blend: 4.4%
Step 9600/32000 | CE Loss: 2.6562 | Trio Blend: 4.7%
Step 9700/32000 | CE Loss: 2.7500 | Trio Blend: 4.9%
Step 9800/32000 | CE Loss: 2.7500 | Trio Blend: 5.2%
Step 9900/32000 | CE Loss: 2.7188 | Trio Blend: 5.4%
Step 10000/32000 | CE Loss: 2.6562 | Trio Blend: 5.7%
Step 10100/32000 | CE Loss: 2.8594 | Trio Blend: 6.0%
Step 10200/32000 | CE Loss: 2.4531 | Trio Blend: 6.3%
Step 10300/32000 | CE Loss: 2.5781 | Trio Blend: 6.6%
Step 10400/32000 | CE Loss: 2.7344 | Trio Blend: 6.9%
Step 10500/32000 | CE Loss: 2.5156 | Trio Blend: 7.2%
Step 10600/32000 | CE Loss: 4.3438 | Trio Blend: 7.5%
Step 10700/32000 | CE Loss: 2.5781 | Trio Blend: 7.8%
Step 10800/32000 | CE Loss: 2.7344 | Trio Blend: 8.2%
Step 10900/32000 | CE Loss: 2.2812 | Trio Blend: 8.5%
Step 11000/32000 | CE Loss: 2.8438 | Trio Blend: 8.9%
Step 11100/32000 | CE Loss: 2.6562 | Trio Blend: 9.2%
Step 11200/32000 | CE Loss: 2.6875 | Trio Blend: 9.5%
Step 11300/32000 | CE Loss: 2.5312 | Trio Blend: 9.9%
Step 11400/32000 | CE Loss: 2.5000 | Trio Blend: 10.3%
Step 11500/32000 | CE Loss: 2.5156 | Trio Blend: 10.6%
Step 11600/32000 | CE Loss: 2.5156 | Trio Blend: 11.0%
Step 11700/32000 | CE Loss: 2.6562 | Trio Blend: 11.4%
Step 11800/32000 | CE Loss: 2.5625 | Trio Blend: 11.8%
Step 11900/32000 | CE Loss: 2.7188 | Trio Blend: 12.2%
Step 12000/32000 | CE Loss: 2.7344 | Trio Blend: 12.6%
Step 12100/32000 | CE Loss: 2.9688 | Trio Blend: 13.0%
Step 12200/32000 | CE Loss: 4.2500 | Trio Blend: 13.4%
Step 12300/32000 | CE Loss: 2.7656 | Trio Blend: 13.8%
Step 12400/32000 | CE Loss: 2.7031 | Trio Blend: 14.2%
Step 12500/32000 | CE Loss: 3.3125 | Trio Blend: 14.6%
Step 12600/32000 | CE Loss: 2.5625 | Trio Blend: 15.1%
Step 12700/32000 | CE Loss: 2.7031 | Trio Blend: 15.5%
Step 12800/32000 | CE Loss: 2.7500 | Trio Blend: 15.9%
Step 12900/32000 | CE Loss: 2.6562 | Trio Blend: 16.4%
Step 13000/32000 | CE Loss: 2.7656 | Trio Blend: 16.8%
Step 13100/32000 | CE Loss: 2.5312 | Trio Blend: 17.3%
Step 13200/32000 | CE Loss: 2.7188 | Trio Blend: 17.8%
Step 13300/32000 | CE Loss: 2.6250 | Trio Blend: 18.2%
Step 13400/32000 | CE Loss: 2.6875 | Trio Blend: 18.7%
Step 13500/32000 | CE Loss: 3.0625 | Trio Blend: 19.2%
Step 13600/32000 | CE Loss: 2.9219 | Trio Blend: 19.6%
Step 13700/32000 | CE Loss: 2.6562 | Trio Blend: 20.1%
Step 13800/32000 | CE Loss: 3.0469 | Trio Blend: 20.6%
Step 13900/32000 | CE Loss: 2.7188 | Trio Blend: 21.1%
Step 14000/32000 | CE Loss: 2.7500 | Trio Blend: 21.6%
Step 14100/32000 | CE Loss: 2.6562 | Trio Blend: 22.1%
Step 14200/32000 | CE Loss: 2.4531 | Trio Blend: 22.6%
Step 14300/32000 | CE Loss: 2.7812 | Trio Blend: 23.1%
Step 14400/32000 | CE Loss: 2.5469 | Trio Blend: 23.6%
Step 14500/32000 | CE Loss: 2.8438 | Trio Blend: 24.1%
Step 14600/32000 | CE Loss: 3.0781 | Trio Blend: 24.7%
Step 14700/32000 | CE Loss: 2.9062 | Trio Blend: 25.2%
Step 14800/32000 | CE Loss: 2.9844 | Trio Blend: 25.7%
Step 14900/32000 | CE Loss: 2.7031 | Trio Blend: 26.2%
Step 15000/32000 | CE Loss: 2.6562 | Trio Blend: 26.8%
Step 15100/32000 | CE Loss: 2.6250 | Trio Blend: 27.3%
Step 15200/32000 | CE Loss: 2.7500 | Trio Blend: 27.8%
Step 15300/32000 | CE Loss: 2.8594 | Trio Blend: 28.4%
Step 15400/32000 | CE Loss: 3.3750 | Trio Blend: 28.9%
Step 15500/32000 | CE Loss: 3.0938 | Trio Blend: 29.5%
Step 15600/32000 | CE Loss: 3.7188 | Trio Blend: 30.0%
Step 15700/32000 | CE Loss: 3.2188 | Trio Blend: 30.6%
Step 15800/32000 | CE Loss: 2.5156 | Trio Blend: 31.1%
Step 15900/32000 | CE Loss: 2.6562 | Trio Blend: 31.7%
Step 16000/32000 | CE Loss: 2.8906 | Trio Blend: 32.3%
Step 16100/32000 | CE Loss: 2.6250 | Trio Blend: 32.8%
Step 16200/32000 | CE Loss: 2.8594 | Trio Blend: 33.4%
Step 16300/32000 | CE Loss: 3.0625 | Trio Blend: 34.0%
Step 16400/32000 | CE Loss: 2.7656 | Trio Blend: 34.5%
Step 16500/32000 | CE Loss: 3.2969 | Trio Blend: 35.1%
Step 16600/32000 | CE Loss: 2.6406 | Trio Blend: 35.7%
Step 16700/32000 | CE Loss: 3.0781 | Trio Blend: 36.3%
Step 16800/32000 | CE Loss: 2.8438 | Trio Blend: 36.9%
Step 16900/32000 | CE Loss: 2.8438 | Trio Blend: 37.4%
Step 17000/32000 | CE Loss: 2.7031 | Trio Blend: 38.0%
Step 17100/32000 | CE Loss: 2.7969 | Trio Blend: 38.6%
Step 17200/32000 | CE Loss: 2.5938 | Trio Blend: 39.2%
Step 17300/32000 | CE Loss: 2.5938 | Trio Blend: 39.8%
Step 17400/32000 | CE Loss: 2.8438 | Trio Blend: 40.4%
Step 17500/32000 | CE Loss: 3.1875 | Trio Blend: 41.0%
Step 17600/32000 | CE Loss: 2.8438 | Trio Blend: 41.6%
Step 17700/32000 | CE Loss: 2.7656 | Trio Blend: 42.2%
Step 17800/32000 | CE Loss: 2.9062 | Trio Blend: 42.8%
Step 17900/32000 | CE Loss: 2.6875 | Trio Blend: 43.4%
Step 18000/32000 | CE Loss: 3.1406 | Trio Blend: 44.0%
Step 18100/32000 | CE Loss: 4.0312 | Trio Blend: 44.6%
Step 18200/32000 | CE Loss: 3.1406 | Trio Blend: 45.2%
Step 18300/32000 | CE Loss: 3.2031 | Trio Blend: 45.8%
Step 18400/32000 | CE Loss: 3.2969 | Trio Blend: 46.4%
Step 18500/32000 | CE Loss: 3.0625 | Trio Blend: 47.0%
Step 18600/32000 | CE Loss: 3.7031 | Trio Blend: 47.6%
Step 18700/32000 | CE Loss: 3.1719 | Trio Blend: 48.2%
Step 18800/32000 | CE Loss: 3.3906 | Trio Blend: 48.8%
Step 18900/32000 | CE Loss: 3.1406 | Trio Blend: 49.4%
Step 19000/32000 | CE Loss: 2.8594 | Trio Blend: 50.0%
Step 19100/32000 | CE Loss: 2.8906 | Trio Blend: 50.6%
Step 19200/32000 | CE Loss: 3.2344 | Trio Blend: 51.2%
Step 19300/32000 | CE Loss: 2.6562 | Trio Blend: 51.8%
Step 19400/32000 | CE Loss: 3.5312 | Trio Blend: 52.4%
Step 19500/32000 | CE Loss: 3.1719 | Trio Blend: 53.0%
Step 19600/32000 | CE Loss: 4.2500 | Trio Blend: 53.6%
Step 19700/32000 | CE Loss: 3.5625 | Trio Blend: 54.2%
Step 19800/32000 | CE Loss: 2.9688 | Trio Blend: 54.8%
Step 19900/32000 | CE Loss: 8.0000 | Trio Blend: 55.4%
Step 20000/32000 | CE Loss: 4.5312 | Trio Blend: 56.0%
Step 20100/32000 | CE Loss: 6.0000 | Trio Blend: 56.6%
Step 20200/32000 | CE Loss: 2.9531 | Trio Blend: 57.2%
Step 20300/32000 | CE Loss: 3.8281 | Trio Blend: 57.8%
Step 20400/32000 | CE Loss: 5.4688 | Trio Blend: 58.4%
Step 20500/32000 | CE Loss: 7.0625 | Trio Blend: 59.0%
Step 20600/32000 | CE Loss: 3.7500 | Trio Blend: 59.6%
Step 20700/32000 | CE Loss: 3.1875 | Trio Blend: 60.2%
Step 20800/32000 | CE Loss: 3.5312 | Trio Blend: 60.8%
Step 20900/32000 | CE Loss: 3.3594 | Trio Blend: 61.4%
Step 21000/32000 | CE Loss: 3.3125 | Trio Blend: 62.0%
Step 21100/32000 | CE Loss: 3.2031 | Trio Blend: 62.6%
Step 21200/32000 | CE Loss: 3.1406 | Trio Blend: 63.1%
Step 21300/32000 | CE Loss: 3.4531 | Trio Blend: 63.7%
Step 21400/32000 | CE Loss: 3.0625 | Trio Blend: 64.3%
Step 21500/32000 | CE Loss: 3.7031 | Trio Blend: 64.9%
Step 21600/32000 | CE Loss: 3.4062 | Trio Blend: 65.5%
Step 21700/32000 | CE Loss: 4.8438 | Trio Blend: 66.0%
Step 21800/32000 | CE Loss: 3.0000 | Trio Blend: 66.6%
Step 21900/32000 | CE Loss: 6.6250 | Trio Blend: 67.2%
Step 22000/32000 | CE Loss: 3.7344 | Trio Blend: 67.7%
Step 22100/32000 | CE Loss: 3.9844 | Trio Blend: 68.3%
Step 22200/32000 | CE Loss: 3.5625 | Trio Blend: 68.9%
Step 22300/32000 | CE Loss: 11.6875 | Trio Blend: 69.4%
Step 22400/32000 | CE Loss: 3.8906 | Trio Blend: 70.0%
Step 22500/32000 | CE Loss: 3.4688 | Trio Blend: 70.5%
Step 22600/32000 | CE Loss: 3.3125 | Trio Blend: 71.1%
Step 22700/32000 | CE Loss: 3.4062 | Trio Blend: 71.6%
Step 22800/32000 | CE Loss: 3.3906 | Trio Blend: 72.2%
Step 22900/32000 | CE Loss: 2.8438 | Trio Blend: 72.7%
Step 23000/32000 | CE Loss: 3.2031 | Trio Blend: 73.2%
Step 23100/32000 | CE Loss: 2.7031 | Trio Blend: 73.8%
Step 23200/32000 | CE Loss: 5.6562 | Trio Blend: 74.3%
Step 23300/32000 | CE Loss: 3.5469 | Trio Blend: 74.8%
Step 23400/32000 | CE Loss: 7.6875 | Trio Blend: 75.3%
Step 23500/32000 | CE Loss: 3.3594 | Trio Blend: 75.9%
Step 23600/32000 | CE Loss: 3.6406 | Trio Blend: 76.4%
Step 23700/32000 | CE Loss: 3.3750 | Trio Blend: 76.9%
Step 23800/32000 | CE Loss: 3.3125 | Trio Blend: 77.4%
Step 23900/32000 | CE Loss: 3.0625 | Trio Blend: 77.9%
Step 24000/32000 | CE Loss: 4.1875 | Trio Blend: 78.4%
Step 24100/32000 | CE Loss: 4.3438 | Trio Blend: 78.9%
Step 24200/32000 | CE Loss: 4.1250 | Trio Blend: 79.4%
Step 24300/32000 | CE Loss: 4.4062 | Trio Blend: 79.9%
Step 24400/32000 | CE Loss: 4.1875 | Trio Blend: 80.4%
Step 24500/32000 | CE Loss: 3.0312 | Trio Blend: 80.8%
Step 24600/32000 | CE Loss: 3.6406 | Trio Blend: 81.3%
Step 24700/32000 | CE Loss: 3.8906 | Trio Blend: 81.8%
Step 24800/32000 | CE Loss: 4.0312 | Trio Blend: 82.2%
Step 24900/32000 | CE Loss: 4.4062 | Trio Blend: 82.7%
Step 25000/32000 | CE Loss: 3.4688 | Trio Blend: 83.2%
Step 25100/32000 | CE Loss: 5.0938 | Trio Blend: 83.6%
Step 25200/32000 | CE Loss: 3.7344 | Trio Blend: 84.1%
Step 25300/32000 | CE Loss: 3.6719 | Trio Blend: 84.5%
Step 25400/32000 | CE Loss: 3.3438 | Trio Blend: 84.9%
Step 25500/32000 | CE Loss: 3.1094 | Trio Blend: 85.4%
Step 25600/32000 | CE Loss: 3.6094 | Trio Blend: 85.8%
Step 25700/32000 | CE Loss: 3.2656 | Trio Blend: 86.2%
Step 25800/32000 | CE Loss: 3.2344 | Trio Blend: 86.6%
Step 25900/32000 | CE Loss: 4.0625 | Trio Blend: 87.0%
Step 26000/32000 | CE Loss: 9.1250 | Trio Blend: 87.4%
Step 26100/32000 | CE Loss: 4.4688 | Trio Blend: 87.8%
Step 26200/32000 | CE Loss: 5.7500 | Trio Blend: 88.2%
Step 26300/32000 | CE Loss: 3.2188 | Trio Blend: 88.6%
Step 26400/32000 | CE Loss: 3.5625 | Trio Blend: 89.0%
Step 26500/32000 | CE Loss: 6.2812 | Trio Blend: 89.4%
Step 26600/32000 | CE Loss: 3.8438 | Trio Blend: 89.7%
Step 26700/32000 | CE Loss: 3.0938 | Trio Blend: 90.1%
Step 26800/32000 | CE Loss: 4.6875 | Trio Blend: 90.5%
Step 26900/32000 | CE Loss: 3.0469 | Trio Blend: 90.8%
Step 27000/32000 | CE Loss: 5.5000 | Trio Blend: 91.1%
Step 27100/32000 | CE Loss: 3.3594 | Trio Blend: 91.5%
Step 27200/32000 | CE Loss: 6.0312 | Trio Blend: 91.8%
Step 27300/32000 | CE Loss: 5.5938 | Trio Blend: 92.2%
Step 27400/32000 | CE Loss: 3.7656 | Trio Blend: 92.5%
Step 27500/32000 | CE Loss: 3.3594 | Trio Blend: 92.8%
Step 27600/32000 | CE Loss: 3.9062 | Trio Blend: 93.1%
Step 27700/32000 | CE Loss: 5.8750 | Trio Blend: 93.4%
Step 27800/32000 | CE Loss: 6.3125 | Trio Blend: 93.7%
Step 27900/32000 | CE Loss: 4.4062 | Trio Blend: 94.0%
Step 28000/32000 | CE Loss: 4.0625 | Trio Blend: 94.3%
Step 28100/32000 | CE Loss: 3.4531 | Trio Blend: 94.6%
Step 28200/32000 | CE Loss: 3.7031 | Trio Blend: 94.8%
Step 28300/32000 | CE Loss: 3.5000 | Trio Blend: 95.1%
Step 28400/32000 | CE Loss: 7.4688 | Trio Blend: 95.3%
Step 28500/32000 | CE Loss: 4.0312 | Trio Blend: 95.6%
Step 28600/32000 | CE Loss: 3.7812 | Trio Blend: 95.8%
Step 28700/32000 | CE Loss: 4.4062 | Trio Blend: 96.1%
Step 28800/32000 | CE Loss: 4.2500 | Trio Blend: 96.3%
Step 28900/32000 | CE Loss: 5.2500 | Trio Blend: 96.5%
Step 29000/32000 | CE Loss: 3.3281 | Trio Blend: 96.8%
Step 29100/32000 | CE Loss: 3.7031 | Trio Blend: 97.0%
Step 29200/32000 | CE Loss: 4.5312 | Trio Blend: 97.2%
Step 29300/32000 | CE Loss: 5.6250 | Trio Blend: 97.4%
Step 29400/32000 | CE Loss: 4.5625 | Trio Blend: 97.6%
Step 29500/32000 | CE Loss: 3.5938 | Trio Blend: 97.7%
Step 29600/32000 | CE Loss: 9.6250 | Trio Blend: 97.9%
Step 29700/32000 | CE Loss: 4.9375 | Trio Blend: 98.1%
Step 29800/32000 | CE Loss: 4.9062 | Trio Blend: 98.2%
Step 29900/32000 | CE Loss: 3.4531 | Trio Blend: 98.4%
Step 30000/32000 | CE Loss: 3.9062 | Trio Blend: 98.5%
Step 30100/32000 | CE Loss: 4.4688 | Trio Blend: 98.7%
Step 30200/32000 | CE Loss: 3.6250 | Trio Blend: 98.8%
Step 30300/32000 | CE Loss: 4.4688 | Trio Blend: 98.9%
Step 30400/32000 | CE Loss: 3.3125 | Trio Blend: 99.1%
Step 30500/32000 | CE Loss: 3.7500 | Trio Blend: 99.2%
Step 30600/32000 | CE Loss: 3.6094 | Trio Blend: 99.3%
Step 30700/32000 | CE Loss: 5.5000 | Trio Blend: 99.4%
Step 30800/32000 | CE Loss: 5.0000 | Trio Blend: 99.5%
Step 30900/32000 | CE Loss: 4.8125 | Trio Blend: 99.6%
Step 31000/32000 | CE Loss: 3.5625 | Trio Blend: 99.6%
Step 31100/32000 | CE Loss: 4.0000 | Trio Blend: 99.7%
Step 31200/32000 | CE Loss: 4.2188 | Trio Blend: 99.8%
Step 31300/32000 | CE Loss: 5.3438 | Trio Blend: 99.8%
Step 31400/32000 | CE Loss: 4.9062 | Trio Blend: 99.9%
Step 31500/32000 | CE Loss: 2.9062 | Trio Blend: 99.9%
Step 31600/32000 | CE Loss: 3.4375 | Trio Blend: 99.9%
Step 31700/32000 | CE Loss: 3.6250 | Trio Blend: 100.0%
Step 31800/32000 | CE Loss: 3.0469 | Trio Blend: 100.0%
Step 31900/32000 | CE Loss: 3.6875 | Trio Blend: 100.0%

--- フェーズ1（英語）完了。3値結晶化モデルを抽出・保存します ---
🎉 D-RNAの構造を完全に守った3値結晶化ファイルを出力しました: drna_trio_phase1_english.safetensors

---
drna_trio_phase1_english.safetensors

Layer Name                                    |    Mean |     Std |     Max |     Min |   SVD
embed.weight                                  |  0.0016 |  1.0007 |    4.47 |   -4.28 |  5.50
---------------------------------------------------------------------------------------------
layers.0.mlp.0.weight                         |  0.0084 |  0.4821 |    1.00 |   -1.00 |  5.66
layers.0.mlp.3.weight                         | -0.0194 |  0.3737 |    1.00 |   -1.00 |  5.66
layers.0.out_proj.weight                      |  0.0145 |  0.2285 |    1.00 |   -1.00 |  5.16
layers.0.qkv.weight                           | -0.0396 |  0.6020 |    1.00 |   -1.00 |  5.40
layers.1.mlp.0.weight                         | -0.0237 |  0.4926 |    1.00 |   -1.00 |  5.67
layers.1.mlp.3.weight                         | -0.0035 |  0.3485 |    1.00 |   -1.00 |  5.66
layers.1.out_proj.weight                      |  0.0151 |  0.2843 |    1.00 |   -1.00 |  5.36
layers.1.qkv.weight                           |  0.0143 |  0.5119 |    1.00 |   -1.00 |  5.52
layers.10.mlp.0.weight                        | -0.0294 |  0.4374 |    1.00 |   -1.00 |  5.65
layers.10.mlp.3.weight                        | -0.0018 |  0.3587 |    1.00 |   -1.00 |  5.58
layers.10.out_proj.weight                     |  0.0134 |  0.3689 |    1.00 |   -1.00 |  5.34
layers.10.qkv.weight                          | -0.0128 |  0.4449 |    1.00 |   -1.00 |  5.56
layers.11.mlp.0.weight                        | -0.0230 |  0.3980 |    1.00 |   -1.00 |  5.66
layers.11.mlp.3.weight                        |  0.0114 |  0.3651 |    1.00 |   -1.00 |  5.59
layers.11.out_proj.weight                     | -0.0027 |  0.3156 |    1.00 |   -1.00 |  5.29
layers.11.qkv.weight                          |  0.0132 |  0.3869 |    1.00 |   -1.00 |  5.52
layers.12.mlp.0.weight                        | -0.0023 |  0.4047 |    1.00 |   -1.00 |  5.66
layers.12.mlp.3.weight                        | -0.0210 |  0.3773 |    1.00 |   -1.00 |  5.60
layers.12.out_proj.weight                     |  0.0310 |  0.3670 |    1.00 |   -1.00 |  5.34
layers.12.qkv.weight                          | -0.0145 |  0.4328 |    1.00 |   -1.00 |  5.56
layers.13.mlp.0.weight                        | -0.0134 |  0.3875 |    1.00 |   -1.00 |  5.66
layers.13.mlp.3.weight                        | -0.0131 |  0.3814 |    1.00 |   -1.00 |  5.61
layers.13.out_proj.weight                     | -0.0035 |  0.3549 |    1.00 |   -1.00 |  5.32
layers.13.qkv.weight                          | -0.0154 |  0.4175 |    1.00 |   -1.00 |  5.54
layers.14.mlp.0.weight                        | -0.0096 |  0.4027 |    1.00 |   -1.00 |  5.66
layers.14.mlp.3.weight                        | -0.0101 |  0.3817 |    1.00 |   -1.00 |  5.60
layers.14.out_proj.weight                     | -0.0135 |  0.3729 |    1.00 |   -1.00 |  5.35
layers.14.qkv.weight                          |  0.0009 |  0.4264 |    1.00 |   -1.00 |  5.57
layers.15.mlp.0.weight                        |  0.0066 |  0.4065 |    1.00 |   -1.00 |  5.66
layers.15.mlp.3.weight                        |  0.0256 |  0.3939 |    1.00 |   -1.00 |  5.59
layers.15.out_proj.weight                     |  0.0044 |  0.3477 |    1.00 |   -1.00 |  5.30
layers.15.qkv.weight                          | -0.0036 |  0.4371 |    1.00 |   -1.00 |  5.55
layers.16.mlp.0.weight                        |  0.0119 |  0.4346 |    1.00 |   -1.00 |  5.66
layers.16.mlp.3.weight                        |  0.0189 |  0.3736 |    1.00 |   -1.00 |  5.66
layers.16.out_proj.weight                     | -0.0043 |  0.3657 |    1.00 |   -1.00 |  5.36
layers.16.qkv.weight                          |  0.0089 |  0.4011 |    1.00 |   -1.00 |  5.54
layers.17.mlp.0.weight                        | -0.0105 |  0.4586 |    1.00 |   -1.00 |  5.67
layers.17.mlp.3.weight                        |  0.0027 |  0.3710 |    1.00 |   -1.00 |  5.66
layers.17.out_proj.weight                     | -0.0062 |  0.3893 |    1.00 |   -1.00 |  5.40
layers.17.qkv.weight                          |  0.0083 |  0.4309 |    1.00 |   -1.00 |  5.56
layers.18.mlp.0.weight                        |  0.0088 |  0.4437 |    1.00 |   -1.00 |  5.67
layers.18.mlp.3.weight                        |  0.0181 |  0.3938 |    1.00 |   -1.00 |  5.64
layers.18.out_proj.weight                     | -0.0287 |  0.4066 |    1.00 |   -1.00 |  5.39
layers.18.qkv.weight                          |  0.0100 |  0.4649 |    1.00 |   -1.00 |  5.56
